### Alberto Saldana-Lopez (Obs. Geneva - UniGE)
# 2021/08/31 11:24:18
#
# --------------------------------------------------------------------------------
#    example - stellar continuum SED - ficus.py
# --------------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> example
# plot_mode   --> yes
# ssp_models  --> sb99
# Zarray      --> ['001', '004', '008', '02']
# att_law     --> reddy16
# att_igm     --> no
# wave_range  --> [ 925. 1345.]
# z_spec      --> 0.33314
# wave_R      --> 1000.0
# wave_norm   --> [1070. 1110.]
# nsim        --> 10
# 
### outputs ### 
# norm_factor --> 1.2426760411056101e-16
# arrays      --> wave(A), Flux.OBS, Flux.ERR, Flux.FIT, Flux.FITerr 
# 
# 
# wave(A)     Flux.OBS      Flux.ERR      Flux.FIT      Flux.FITerr 
+1.02501e+03  +9.52943e-02  +6.81636e-02  +5.65142e-01  +5.64725e-02
+1.02544e+03  +9.54862e-02  +6.82569e-02  +3.61208e-01  +3.55493e-02
+1.02586e+03  +3.47862e-01  +1.05176e-01  +3.50633e-01  +3.03422e-02
+1.02628e+03  +3.69331e-01  +1.05246e-01  +5.66516e-01  +4.53212e-02
+1.02670e+03  +5.32854e-01  +1.27411e-01  +7.14780e-01  +5.26009e-02
+1.02712e+03  +7.50824e-01  +1.44225e-01  +7.46323e-01  +4.91401e-02
+1.02754e+03  +8.92698e-01  +1.68454e-01  +7.46941e-01  +4.47235e-02
+1.02797e+03  +8.10517e-01  +1.68909e-01  +7.45687e-01  +4.14513e-02
+1.02839e+03  +6.43328e-01  +1.55157e-01  +7.45021e-01  +3.87558e-02
+1.02881e+03  +6.44620e-01  +1.55415e-01  +7.41016e-01  +3.71253e-02
+1.02923e+03  +9.57175e-01  +1.83955e-01  +7.28772e-01  +3.72011e-02
+1.02965e+03  +1.10064e+00  +1.93847e-01  +7.08172e-01  +3.89370e-02
+1.03007e+03  +8.55737e-01  +1.52396e-01  +6.84836e-01  +4.13964e-02
+1.03050e+03  +7.22758e-01  +1.39309e-01  +6.57753e-01  +4.13474e-02
+1.03092e+03  +7.24284e-01  +1.39547e-01  +6.44052e-01  +4.14789e-02
+1.03134e+03  +7.04147e-01  +1.39920e-01  +6.83676e-01  +5.05511e-02
+1.03176e+03  +9.05573e-01  +1.60399e-01  +7.49705e-01  +6.09233e-02
+1.03218e+03  +7.56193e-01  +1.59009e-01  +8.12054e-01  +6.24493e-02
+1.03260e+03  +6.78063e-01  +1.46052e-01  +8.46620e-01  +5.56677e-02
