### Alberto Saldana-Lopez (UniGE)
# 2023/01/27 13:50:26
#
# --------------------------------------------------------------------------------
#    CDFS017345 - stellar continuum SED (full) - ficus.py
# --------------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# plot_mode   --> yes
# ssp_models  --> sb99
# Zarray      --> ['001', '004', '008', '02']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# 
### outputs ### 
# norm_factor --> 6.972483143908366e-19
# arrays      --> wave(A), Flux.MOD, Flux.MODerr, Flux.INT, Flux.INTerr 
# 
# 
# wave(A)     Flux.MOD      Flux.MODerr   Flux.INT      Flux.INTerr 
+1.97600e+03  +4.50039e-01  +1.85890e-02  +6.90272e-01  +4.07642e-02
+1.98400e+03  +4.41105e-01  +1.70116e-02  +6.75162e-01  +3.85728e-02
+1.99500e+03  +4.33433e-01  +1.62686e-02  +6.61542e-01  +3.74623e-02
+2.00500e+03  +4.31547e-01  +1.73180e-02  +6.56991e-01  +3.80177e-02
+2.01500e+03  +4.26422e-01  +1.69114e-02  +6.47560e-01  +3.72221e-02
+2.02500e+03  +4.23983e-01  +1.84122e-02  +6.42258e-01  +3.83772e-02
+2.03500e+03  +4.14146e-01  +1.70675e-02  +6.25820e-01  +3.62747e-02
+2.04500e+03  +4.10210e-01  +1.76983e-02  +6.18370e-01  +3.65077e-02
+2.05500e+03  +3.98865e-01  +1.74979e-02  +5.99829e-01  +3.55261e-02
+2.06500e+03  +4.00454e-01  +1.76379e-02  +6.00792e-01  +3.56209e-02
+2.07400e+03  +4.07208e-01  +1.81651e-02  +6.09636e-01  +3.65571e-02
+2.07800e+03  +4.00376e-01  +1.68189e-02  +5.98851e-01  +3.47821e-02
+2.08500e+03  +3.99307e-01  +1.77407e-02  +5.96285e-01  +3.54988e-02
+2.09500e+03  +3.91770e-01  +1.65473e-02  +5.83692e-01  +3.38654e-02
+2.10500e+03  +3.89785e-01  +1.73915e-02  +5.79420e-01  +3.43993e-02
+2.11500e+03  +3.86145e-01  +1.74953e-02  +5.72725e-01  +3.42286e-02
+2.12500e+03  +3.82709e-01  +1.81825e-02  +5.66373e-01  +3.46408e-02
+2.13500e+03  +3.75748e-01  +1.71440e-02  +5.54854e-01  +3.32812e-02
+2.14500e+03  +3.70209e-01  +1.72720e-02  +5.45491e-01  +3.28306e-02
+2.15500e+03  +3.68889e-01  +1.80573e-02  +5.42383e-01  +3.35343e-02
+2.16500e+03  +3.63484e-01  +1.75081e-02  +5.33304e-01  +3.27410e-02
+2.17500e+03  +3.59903e-01  +1.73310e-02  +5.26945e-01  +3.23169e-02
+2.18500e+03  +3.54608e-01  +1.71968e-02  +5.18116e-01  +3.18130e-02
+2.19500e+03  +3.52620e-01  +1.81457e-02  +5.14156e-01  +3.24843e-02
+2.20500e+03  +3.47822e-01  +1.74705e-02  +5.06131e-01  +3.15616e-02
+2.21500e+03  +3.42360e-01  +1.69239e-02  +4.97183e-01  +3.07575e-02
+2.22500e+03  +3.37708e-01  +1.61600e-02  +4.89454e-01  +2.97420e-02
+2.23500e+03  +3.35047e-01  +1.75710e-02  +4.84643e-01  +3.07605e-02
+2.24500e+03  +3.30974e-01  +1.69150e-02  +4.77821e-01  +2.99800e-02
+2.25500e+03  +3.25596e-01  +1.64279e-02  +4.69153e-01  +2.91689e-02
+2.26500e+03  +3.23299e-01  +1.67832e-02  +4.64956e-01  +2.94135e-02
+2.27500e+03  +3.19998e-01  +1.73186e-02  +4.59340e-01  +2.96111e-02
+2.28500e+03  +3.17076e-01  +1.78481e-02  +4.54298e-01  +2.98004e-02
+2.29500e+03  +3.12860e-01  +1.70390e-02  +4.47429e-01  +2.85306e-02
+2.30500e+03  +3.10259e-01  +1.70651e-02  +4.42900e-01  +2.84363e-02
+2.31500e+03  +3.05006e-01  +1.64145e-02  +4.34613e-01  +2.76238e-02
+2.32500e+03  +2.92013e-01  +1.20300e-02  +4.15353e-01  +2.31401e-02
