### Alberto Saldana-Lopez (UniGE)
# 2023/01/27 13:50:26
#
# --------------------------------------------------------------------------------
#    CDFS017345 - stellar continuum SED - ficus.py
# --------------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# plot_mode   --> yes
# ssp_models  --> sb99
# Zarray      --> ['001', '004', '008', '02']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# 
### outputs ### 
# norm_factor --> 6.972483143908366e-19
# arrays      --> wave(A), Flux.OBS, Flux.ERR, Flux.FIT, Flux.FITerr 
# 
# 
# wave(A)     Flux.OBS      Flux.ERR      Flux.FIT      Flux.FITerr 
+1.30257e+03  +8.23114e-01  +1.56560e-01  +1.05346e+00  +1.17129e-02
+1.30313e+03  +7.81888e-01  +1.55649e-01  +1.02418e+00  +1.46845e-02
+1.30368e+03  +4.53591e-01  +1.53451e-01  +1.02680e+00  +1.45270e-02
+1.30424e+03  +8.37110e-01  +1.53113e-01  +1.05585e+00  +1.16905e-02
+1.30479e+03  +1.19820e+00  +1.51468e-01  +1.06186e+00  +1.06726e-02
+1.30535e+03  +1.14988e+00  +1.49628e-01  +1.04470e+00  +1.05267e-02
+1.30590e+03  +1.11267e+00  +1.50633e-01  +1.03207e+00  +1.07024e-02
+1.30645e+03  +1.03455e+00  +1.50086e-01  +1.03956e+00  +1.16149e-02
+1.30701e+03  +1.12303e+00  +1.50875e-01  +1.04840e+00  +1.28321e-02
+1.30756e+03  +8.99145e-01  +1.51237e-01  +1.05132e+00  +1.27768e-02
+1.30812e+03  +9.02324e-01  +1.51847e-01  +1.05516e+00  +1.15302e-02
+1.30867e+03  +1.01151e+00  +1.52863e-01  +1.05436e+00  +1.08130e-02
+1.30923e+03  +1.27941e+00  +1.54033e-01  +1.05566e+00  +1.07246e-02
+1.30978e+03  +8.14499e-01  +1.53257e-01  +1.05727e+00  +1.07460e-02
+1.31033e+03  +1.13585e+00  +1.53201e-01  +1.05627e+00  +1.07988e-02
+1.31089e+03  +9.84798e-01  +1.52474e-01  +1.05042e+00  +1.10158e-02
+1.31144e+03  +1.05510e+00  +1.52009e-01  +1.03933e+00  +1.08494e-02
+1.31200e+03  +1.00458e+00  +1.51592e-01  +1.03842e+00  +1.02099e-02
